NOMBRE,REGION,PROVINCIA,CODIGO,INSTITUCION,DISTRITO,DIRECCIÓN,latitude,longitude
HOSPITAL EL BUEN SAMARITANO,AMAZONAS,UTCUBAMBA,9067,ESSALUD,BAGUA GRANDE,JR. ANGAMOS N 990 UTCUBAMBA AMAZONAS,-5.7515038,-78.44625500000001
DETECTA CLINICA,LIMA,LIMA,12206,PRIVADO,SURQUILLO,AVENIDA ANGAMOS ESTE N° 2688 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.111651400000001,-76.99567619999998
HOSPITAL  SELVA CENTRAL Y ENFERMEDADES TROPICALES LA MERCED,JUNIN,CHANCHAMAYO,8656,ESSALUD,CHANCHAMAYO,JR. LOS CAUCHOS N 223-271 Y JR. LOS ROBLES N 527 CHANCHAMAYO JUNIN,-11.0575884,-75.33717320000001
HOSPITAL NACIONAL DOCENTE MADRE NIÑO SAN BARTOLOME,LIMA,LIMA,6215,MINSA,LIMA,AVENIDA AV ALFONSO UGARTE N 825 LIMA CERCADO AV ALFONSO UGARTE N 825 LIMA CERCADO LIMA LIMA LIMA  LIMA LIMA,-12.049814900000001,-77.04215490000001
SAN MARTIN DE PANGOA,JUNIN,SATIPO,442,GOB REGIONAL,PANGOA,AV. PANGOA SN ESQUINA CON AV. ESPAA SATIPO JUNIN,-11.4282809,-74.4889972
HOSPITAL I LAMPA - ESSALUD - RED ASISTENCIAL JULIACA,PUNO,LAMPA,9900,ESSALUD,LAMPA,JR. ALFONSO UGARTE 124 - LAMPA. LAMPA PUNO,-15.363830800000002,-70.3686017
HOSPITAL NACIONAL SERGIO E. BERNALES,LIMA,LIMA,7634,MINSA,COMAS,AV. TUPAC AMARU KM. 14.5 LIMA LIMA,-11.9331579,-77.04557040000002
HOSPITAL III EMERGENCIAS GRAU,LIMA,LIMA,8502,ESSALUD,LIMA,AVENIDA GRAU N° 351 LIMA LIMA,-12.0589621,-77.0310482
NACIONAL  DOS DE MAYO,LIMA,LIMA,6206,MINSA,LIMA,PARQUE HISTORIA DE LA MEDICINA PERUANA SN ALTURA CUADRA 13 AV GRAU LIMA LIMA,-12.056755099999998,-77.016015
HOSPITAL II CHOCOPE,LA LIBERTAD,ASCOPE,9037,ESSALUD,CHOCOPE,PANAMERICANA NORTE KM N° 604 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA  ASCOPE LA LIBERTAD,-11.8453073,-77.09871340000001
HOSPITAL DE PAMPAS,HUANCAVELICA,TAYACAJA,4074,GOB REGIONAL,PAMPAS,JIRÓN BOLIVAR SN SN JR. BOLIVAR SN PAMPAS TAYACAJA HUANCAVELICA  TAYACAJA HUANCAVELICA,-12.402274,-74.86682900000001
ESSALUD - HOSPITAL I JORGE VOTO BERNALES CORPANCHO,LIMA,LIMA,8318,ESSALUD,SANTA ANITA,CARRETERA CENTRAL KM. 3.5 N 1351 LIMA LIMA,-12.05157,-76.95742039999998
HOSPITAL I VICTOR ALFREDO LAZO PERALTA,MADRE DE DIOS,TAMBOPATA,9319,ESSALUD,TAMBOPATA,AV. ANDRES AVELINO CACERES N 560 TAMBOPATA MADRE DE DIOS,-12.588511599999999,-69.21932170000001
"HOSPITAL DE APOYO DE PUQUIO ""FELIPE HUAMÁN POMA DE AYALA""",AYACUCHO,LUCANAS,3727,GOB REGIONAL,PUQUIO,AV. ARNALDO ALVARADO DE GREGORY N 969 - PUQUIO LUCANAS AYACUCHO,-14.686353200000001,-74.1195572
CLINICA FEIJOO EIRL,TUMBES,TUMBES,7874,PRIVADO,TUMBES,AV. MARISCAL CASTILLA N° 305 TUMBES TUMBES,-3.5719024,-80.45673459999998
HOSPITAL DE EMERGENCIA ATE VITARTE,LIMA,LIMA,28025,MINSA,,HOSPITAL DE EMERGENCIA ATE VITARTE LIMA LIMA,-12.0253814,-76.91785379999999
HOSPITAL II JORGE REATEGUI DELGADO,PIURA,PIURA,10244,ESSALUD,PIURA,AVENIDA GRAU N° 1150 PIURA PIURA,-5.193747,-80.63659670000001
HOSPITAL I TINGO MARIA,HUANUCO,LEONCIO PRADO,9180,ESSALUD,RUPA-RUPA,JR. BOLOGNESI 120 PPJJ TUPAC AMARU LEONCIO PRADO HUANUCO,-9.297105300000002,-75.9995756
HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA,APURIMAC,ABANCAY,7719,GOB REGIONAL,ABANCAY,AV DANIEL ALCIDES CARRION SN ABANCAY APURIMAC,-13.638739000000001,-72.8827854
HOSPITAL DISTRITAL JERUSALEN,LA LIBERTAD,TRUJILLO,5226,GOB REGIONAL,LA ESPERANZA,AVENIDA AVENIDA LOS CEDROS CUADRA 4 CS DISTRITO LA ESPERANZA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.0690033,-79.05438769999998
HOSPITAL NACIONAL GUILLERMO ALMENARA IRIGOYEN,LIMA,LIMA,9251,ESSALUD,LA VICTORIA,AV. GRAU N 800 LIMA LIMA,-12.058308199999999,-77.0224618
HOSPITAL MARIA AUXILIADORA,LIMA,LIMA,5987,MINSA,SAN JUAN DE MIRAFLORES,CALLE MIGUEL IGLESIAS N°968 LIMA LIMA,-12.1606065,-76.9587367
HOSPITAL II TALARA,PIURA,TALARA,12243,ESSALUD,PARIÑAS,AV. PANAMERICANA SN CARRETERA A LOBITOS TALARA PIURA,-7.8404507,-79.1510661
HOSPITAL DISTRITAL LAREDO,LA LIBERTAD,TRUJILLO,5231,GOB REGIONAL,LAREDO,AVENIDA ANTENOR ORREGO SN URB. CENTENARIO NÚMERO SN DISTRITO LAREDO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.127048700000001,-79.0314756
HOSPITAL II CLINICA JAEN,CAJAMARCA,JAEN,10136,ESSALUD,JAEN,CALLE MARIANO MELGAR N 192- URB. SANTA BEATRIZ JAEN CAJAMARCA,-5.705445200000001,-78.80467209999998
HOSPITAL II HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,9132,ESSALUD,ASCENSION,AV. FELIX R. CRISPIN VARGAS SN HUANCAVELICA HUANCAVELICA,-12.7832573,-74.9890025
HOSPITAL II CAJAMARCA,CAJAMARCA,CAJAMARCA,10272,ESSALUD,CAJAMARCA,AV. MARIO URTEAGA NO  SN CAJAMARCA CAJAMARCA,-7.159377900000001,-78.50977490000001
HOSPITAL I OCTAVIO MONGRUT MUÑOZ,LIMA,LIMA,8564,ESSALUD,SAN MIGUEL,AV PARQUE DE LAS LEYENDAS 255 LIMA LIMA,-12.065938099999999,-77.09458269999998
HOSPITAL GOYENECHE,AREQUIPA,AREQUIPA,1232,GOB REGIONAL,AREQUIPA,AVENIDA GOYENECHE N° 100 AREQUIPA AREQUIPA,-16.402465900000003,-71.5288751
HOSPITAL II LUIS HEYSEN INCHAUSTEGUI,LAMBAYEQUE,CHICLAYO,11020,ESSALUD,PIMENTEL,KM. 3.5 CARRETERA CHICLAYO-PIMENTEL CHICLAYO LAMBAYEQUE,-6.7876673,-79.8799082
HOSPITAL DE ESPECIALIDADES BASICAS LA NORIA,LA LIBERTAD,TRUJILLO,5204,GOB REGIONAL,TRUJILLO,AVENIDA AVENIDA BLAS PASCAL N 124 URBANIZACION LA NORIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.103728,-79.0103354
"HOSPITAL DE APOYO DE HUANTA ""DANIEL ALCIDES CARRIÓN""",AYACUCHO,HUANTA,3655,GOB REGIONAL,HUANTA,AV. MARISCAL CASTILLA  N 625 HUANTA AYACUCHO,-12.936454300000001,-74.25174849999998
HOSPITAL  JESUS NAZARENO,AYACUCHO,HUAMANGA,3575,GOB REGIONAL,JESUS NAZARENO,JR. CIRO ALEGRIA N 800 HUAMANGA AYACUCHO,-13.155645100000001,-74.2142113
HOSPITAL REGIONAL MOQUEGUA,MOQUEGUA,MARISCAL NIETO,7732,GOB REGIONAL,MOQUEGUA,AVENIDA SAN ANTONIO NORTE SN MARISCAL NIETO MOQUEGUA,-17.205437600000003,-70.9529408
"HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA""",AYACUCHO,HUAMANGA,3543,GOB REGIONAL,AYACUCHO,JIRÓN INDEPENDENCIA N355 URB. MARISCAL CACERES HUAMANGA AYACUCHO,-13.1497751,-74.22391879999998
CLINICA EL NAZARENO,AYACUCHO,HUAMANGA,8154,PRIVADO,AYACUCHO,JR. QUINUA N 428 HUAMANGA AYACUCHO,-13.1552562,-74.22318390000001
HOSPITAL DE APOYO  SAN MIGUEL,AYACUCHO,LA MAR,3792,GOB REGIONAL,SAN MIGUEL,AV. RAMON CASTILLA SN LA MAR AYACUCHO,-13.012467,-73.98124200000001
HOSPITAL III JOSE CAYETANO HEREDIA,PIURA,PIURA,15230,ESSALUD,CASTILLA,AV. INDEPENDENCIA SN PIURA PIURA,-5.188230799999999,-80.61856350000001
HOSPITAL I CARLOS ALCANTARA BUTTERFIELD,LIMA,LIMA,10135,ESSALUD,LA MOLINA,AV. LOS CONSTRUCTORES 1201 - URB. COVIMA LIMA LIMA,-12.062130999999999,-76.94554389999998
HOSPITAL DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ,LA LIBERTAD,OTUZCO,5314,GOB REGIONAL,OTUZCO,JIRÓN JR. PROGRESO N 385 DISTRITO OTUZCO PROVINCIA OTUZCO DEPARTAMENTO LA LIBERTAD  OTUZCO LA LIBERTAD,-7.9051554999999984,-78.56522259999998
HOSPITAL III YANAHUARA,AREQUIPA,AREQUIPA,13291,ESSALUD,YANAHUARA,AV. ZAMACOLA Y AV. ENMEL SN AREQUIPA AREQUIPA,-16.3960644,-71.54496499999998
HOSPITAL PROVINICIAL DE CASCAS,LA LIBERTAD,GRAN CHIMU,5277,GOB REGIONAL,CASCAS,AVENIDA AV. LIBERTAD N 249 DISTRITO CASCAS PROVINCIA GRAN CHIMU DEPARTAMENTO LA LIBERTAD  GRAN CHIMU LA LIBERTAD,-7.4813907,-78.81741059999999
HOSPITAL DISTRITAL VISTA ALEGRE,LA LIBERTAD,TRUJILLO,5243,GOB REGIONAL,VICTOR LARCO HERRERA,JIRÓN JIRON BERNARDO ALCEDO N 193 DISTRITO VICTOR LARCO HERRERA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.1383948,-79.04851599999998
HOSPITAL PROVINCIAL DE BOLIVAR,LA LIBERTAD,BOLIVAR,5366,GOB REGIONAL,BOLIVAR,AVENIDA AV. DOS DE MAYO N 120 DISTRITO BOLIVAR PROVINCIA BOLIVAR DEPARTAMENTO LA LIBERTAD  BOLIVAR LA LIBERTAD,-7.151213599999998,-77.707685
"INSTITUTO NACIONAL DE REHABILITACION ""DRA. ADRIANA REBAZA FLORES"" AMISTAD PERU - JAPON",LIMA,LIMA,7734,MINSA,CHORRILLOS,AVENIDA AV. DEFENSORES DEL MORRO N° 213 - 215 DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.1668011,-77.02617240000001
HOSPITAL DE APOYO CANGALLO,AYACUCHO,CANGALLO,3494,GOB REGIONAL,CANGALLO,JR. SANTA ROSA N 110 CANGALLO AYACUCHO,-13.6291985,-74.14389899999998
HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,PUNO,SAN ROMAN,9899,ESSALUD,JULIACA,AV. JOSÉ SANTOS CHOCANO SN  LA CAPILLA JULIACA. SAN ROMAN PUNO,-15.490458800000003,-70.1631158
HOSPITAL DE APOYO LEONCIO PRADO,LA LIBERTAD,SANCHEZ CARRION,5349,GOB REGIONAL,HUAMACHUCO,AVENIDA 10 DE JULIO N 209 DISTRITO HUAMACHUCO PROVINCIA SANCHEZ CARRION DEPARTAMENTO LA LIBERTAD  SANCHEZ CARRION LA LIBERTAD,-7.817105099999999,-78.04397279999998
HOSPITAL DISTRITAL EL ESFUERZO DE FLORENCIA DE MORA,LA LIBERTAD,TRUJILLO,5217,GOB REGIONAL,FLORENCIA DE MORA,CALLE CALLE 18 DE MAYO N 1356 DISTRITO FLORENCIA DE MORA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.0875162,-79.02553370000001
HOSPITAL DE APOYO TOMAS LAFORA,LA LIBERTAD,PACASMAYO,5292,GOB REGIONAL,GUADALUPE,JIRÓN JR. LA VICTORIA SN NÚMERO SN DISTRITO GUADALUPE PROVINCIA PACASMAYO DEPARTAMENTO LA LIBERTAD  PACASMAYO LA LIBERTAD,-7.2416741999999985,-79.47454239999998
FELIX TORREALVA GUTIERREZ,ICA,ICA,13912,ESSALUD,ICA,AVENIDA AV. CUTERVO N° 104 DISTRITO ICA PROVINCIA ICA DEPARTAMENTO ICA  ICA ICA,-14.0715791,-75.7269957
HOSPITAL BELEN DE TRUJILLO,LA LIBERTAD,TRUJILLO,5195,GOB REGIONAL,TRUJILLO,JIRÓN JIRON BOLIVAR 350 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.114493399999999,-79.02795400000001
"HOSPITAL PROVINCIAL ASCOPE ""ROSA SANCHEZ DE SANTILLAN""",LA LIBERTAD,ASCOPE,5263,GOB REGIONAL,ASCOPE,AVENIDA AV. GRAU SN NÚMERO SN DISTRITO ASCOPE PROVINCIA ASCOPE DEPARTAMENTO LA LIBERTAD  ASCOPE LA LIBERTAD,-7.713480399999999,-79.1072765
"HOSPITAL II LIMA NORTE CALLAO ""LUIS NEGREIROS VEGA"" ESSALUD",CALLAO,CALLAO,10533,ESSALUD,CALLAO,AV. TOMAS VALLE DRA.39 - URB. VIPOL CALLAO CALLAO,-12.0144283,-77.0964431
RENE TOCHE GROPPO,ICA,CHINCHA,13910,ESSALUD,CHINCHA ALTA,AV. SAN ILDEFONSO N° 101 CHINCHA ICA,-13.424594899999999,-76.13290129999999
HOSPITAL DE APOYO SAN FRANCISCO,AYACUCHO,LA MAR,3754,GOB REGIONAL,AYNA,AV. HUANTA SN LA MAR AYACUCHO,-12.6235962,-73.791055
HOSPITAL I HEROES DEL CENEPA,AMAZONAS,BAGUA,9068,ESSALUD,BAGUA,JR. LAMBAYEQUE N° 517 BAGUA AMAZONAS,-5.633839,-78.53430240000002
CLINICAS SAN BERNARDO S.A.,LIMA,LIMA,8351,PRIVADO,PUEBLO LIBRE,CALLE CALLE SAN  JOSE 161 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.085039300000002,-77.06284219999998
HOSPITAL III BASE  (PUNO) - RED ASISTENCIAL PUNO,PUNO,PUNO,9215,ESSALUD,PUNO,JR. FRANCISCO CACERES JARA N 600 - DEL PARQUE INDUSTRIAL SALCEDO PUNO PUNO,-15.874125699999999,-70.00033409999999
HOSPITAL II TARAPOTO,SAN MARTIN,SAN MARTIN,27733,ESSALUD,,HOSPITAL II TARAPOTO SAN MARTIN SAN MARTIN,-6.473300099999999,-76.37082120000001
HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,6207,MINSA,LIMA,AV. ALFONSO UGARTE 848 LIMA LIMA,-12.0499974,-77.04264640000001
HOSPITAL II HUANUCO,HUANUCO,HUANUCO,10571,ESSALUD,AMARILIS,JR.JOSE OLAYA C.2 HUANUCO HUANUCO,-9.9372551,-76.2394027
HOSPITAL II PASCO,PASCO,PASCO,9747,ESSALUD,SIMON BOLIVAR,BARRIO BUENOS AIRES SN PASCO PASCO,-10.6639323,-76.25359619999998
HOSPITAL II RAMON CASTILLA,LIMA,LIMA,9188,ESSALUD,LIMA,JIRÓN JIRÓN GUILLERMO DANSEY N 390 JIRÓN GUILLERMO DANSEY N 390 LIMA LIMA LIMA  LIMA LIMA,-12.045442999999999,-77.04140500000001
HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN DE LA RED ASISTENCIAL SABOGAL,CALLAO,CALLAO,8265,ESSALUD,BELLAVISTA,JR. COLINA NRO. 1081 CALLAO CALLAO,-12.0641779,-77.12243579999998
HOSPITAL NACIONAL RAMIRO PRIALE PRIALE,JUNIN,HUANCAYO,8652,ESSALUD,EL TAMBO,AVENIDA INDEPENDENCIA N 296 HUANCAYO JUNIN,-12.0532746,-75.2328684
ADOLFO GUEVARA VELASCO,CUSCO,CUSCO,10041,ESSALUD,WANCHAQ,AV. ANSELMO ALVAREZ SN CUSCO CUSCO,-13.524952800000001,-71.96133940000001
HOSPITAL NACIONAL ALMANZOR AGUINAGA ASENJO,LAMBAYEQUE,CHICLAYO,8577,ESSALUD,CHICLAYO,PLAZA DE LA SEGURIDAD SOCIAL SN CHICLAYO LAMBAYEQUE,-6.773263999999998,-79.83072469999998
HOSPITAL I MARINO MOLINA SCIPPA,LIMA,LIMA,8671,ESSALUD,COMAS,AV. GUILLERMO DE LA FUENTE NO 515 URB. SANTA LUZMILA LIMA LIMA,-11.943613800000001,-77.05763950000001
HOSPITAL I EDMUNDO ESCOMEL,AREQUIPA,AREQUIPA,13296,ESSALUD,PAUCARPATA,AV. CAYRO SN AREQUIPA AREQUIPA,-16.416985699999998,-71.50817679999999
HOSPITAL III CHIMBOTE,ANCASH,SANTA,9047,ESSALUD,CHIMBOTE,AV.CIRCUNVALACION N 119 - LADERAS DEL NORTE SANTA ANCASH,-9.061181199999998,-78.58844029999999
HOSPITAL I CLINICA UNIVERSITARIA,PUNO,PUNO,25544,ESSALUD,,HOSPITAL I CLINICA UNIVERSITARIA PUNO PUNO,-15.8616104,-70.00129770000001
HOSPITAL II ILO,MOQUEGUA,ILO,16153,ESSALUD,ILO,JIRON MIRAMAR SN ILO MOQUEGUA,-17.636494,-71.334124
SEGURO SOCIAL DE SALUD - ESSALUD,APURIMAC,ABANCAY,11213,ESSALUD,ABANCAY,SUB LOTE A PARTE INTEGRANTE DEL LOTE 61 Y 61A QUINTA CAYETANA PATIBAMBA ABANCAY APURIMAC,-13.641832999999998,-72.896801
ULDARICO ROCCA FERNANDEZ,LIMA,LIMA,8741,ESSALUD,VILLA EL SALVADOR,AV.SEPARADORA INDUSTRIAL Y AV. CESAR VALLEJO LIMA LIMA,-12.2106115,-76.93169329999998
ESSALUD - HOSPITAL I YURIMAGUAS,LORETO,ALTO AMAZONAS,20274,ESSALUD,YURIMAGUAS,HUMBOLT N° 100 ALTO AMAZONAS LORETO,-5.896292799999999,-76.1161817
HOSPITAL II PUCALLPA- ESSALUD,UCAYALI,CORONEL PORTILLO,9600,ESSALUD,CALLERIA,AV.LLOQUE YUPANQUI  510 CORONEL PORTILLO UCAYALI,-8.3938454,-74.5364676
HOSPITAL  MILITAR LUIS ARIAS SCHEREIBER,LIMA,LIMA,17024,FFAA Y PNP,JESUS MARIA,AV FAUSTINO SANCHEZ CARRION SN (EX. AV PERSHIN SN) LIMA LIMA,-12.0889569,-77.0595731
HOSPITAL II MOQUEGUA,MOQUEGUA,MARISCAL NIETO,16157,ESSALUD,MOQUEGUA,URBANIZACION CAPILLUNE SN SAN FRANCISCO MARISCAL NIETO MOQUEGUA,-17.194668399999998,-70.95415320000001
HOSPITAL I ALTO MAYO,SAN MARTIN,MOYOBAMBA,15598,ESSALUD,MOYOBAMBA,JR. 20 DE ABRIL NRO 347 MOYOBAMBA SAN MARTIN,-6.0386631999999985,-76.9711884
ESSALUD - HOSPITAL II VITARTE,LIMA,LIMA,8353,ESSALUD,ATE,JR. SAN MARTIN DE PORTES 265 LIMA LIMA,-12.0894516,-77.07089870000001
HOSPITAL I SANTA MARGARITA,APURIMAC,ANDAHUAYLAS,11214,ESSALUD,ANDAHUAYLAS,JR. AYACUCHO 740 ANDAHUAYLAS APURIMAC,-13.650717000000002,-73.436368
HOSPITAL AURELIO DIAZ UFANO Y PERAL,LIMA,LIMA,8317,ESSALUD,SAN JUAN DE LURIGANCHO,CALLE MAJES SN G-11 - URB. LOS PINOS LIMA LIMA,-12.1182819,-76.99496909999998
HOSPITAL NACIONAL III-1 CARLOS ALBERTO SEGUÍN ESCOBEDO,AREQUIPA,AREQUIPA,13290,ESSALUD,AREQUIPA,ESQUINA PERAL - EL FILTRO SN AREQUIPA AREQUIPA,-16.3935253,-71.53063320000001
HOSPITAL II DE HUAMANGA,AYACUCHO,HUAMANGA,11775,ESSALUD,SAN JUAN BAUTISTA,AV. VENEZUELA SN HUAMANGA AYACUCHO,-13.1700375,-74.2139042
HOSPITAL II MANUEL DE TORRES MUÑOZ -  MOLLENDO,AREQUIPA,ISLAY,13295,ESSALUD,MOLLENDO,CALLE JUAN B. ARENAS SN MOLLENDO ISLAY AREQUIPA,-17.0192967,-72.0160623
HOSPITAL II ALBERTO HURTADO ABADIA - LA OROYA,JUNIN,YAULI,8653,ESSALUD,SANTA ROSA DE SACCO,AVENIDA MIGUEL GRAU N 1250 YAULI JUNIN,-11.5432031,-75.929502
HOSPITAL II GUSTAVO LANATTA LUJAN - ESSALUD,LIMA,HUAURA,11337,ESSALUD,HUACHO,AVENIDA FRANCISCO VIDAL N 707 HUAURA LIMA,-11.1129497,-77.60870600000001
HOSPITAL I SAMUEL PASTOR DE CAMANA ESSALUD,AREQUIPA,CAMANA,11009,ESSALUD,SAMUEL PASTOR,AV. PLAZA DE ARMAS SN SAMUEL PASTOR - LA PAMPA CAMANA AREQUIPA,-16.6136795,-72.69912020000001
HOSPITAL I TARMA,JUNIN,TARMA,8654,ESSALUD,TARMA,AVENIDA ODRIA SN CD. 14 TARMA JUNIN,-11.4025582,-75.6849146
CENTRO MEDICO RIOJA - ESSALUD,SAN MARTIN,RIOJA,21003,ESSALUD,RIOJA,CRUCERO JR. CHACHAPOYAS CDRA11 CON JR. LUIS LINARES CDRA10 - BARRIO CASCAYUNGA RIOJA SAN MARTIN,-6.0670575,-77.1717963
HOSPITAL I ESSALUD-SULLANA,PIURA,SULLANA,10267,ESSALUD,SULLANA,CALLE SANTA CLARA MZA O LOTE 44 SANCHEZ CERRO SULLANA PIURA,-4.903638,-80.68643229999998
HOSPITAL II HUARAZ,ANCASH,HUARAZ,9053,ESSALUD,INDEPENDENCIA,AV INDEPENDENCIA N 2161 BARRIO VICHAY HUARAZ ANCASH,-9.4932351,-77.5374156
HOSPITAL II - E HUARIACA,PASCO,PASCO,9749,ESSALUD,HUARIACA,CARRETERA CENTRAL SN HUARIACA DISTRITO DE HUARIACA PROVINCIA Y REGIÓN PASCO PASCO PASCO,-10.444015199999999,-76.1885171
HOSPITAL REGIONAL DEL SUR,AREQUIPA,AREQUIPA,11448,FFAA Y PNP,CERRO COLORADO,AVENIDA AVIACION SN AREQUIPA AREQUIPA,-16.366426,-71.56378459999998
HOSPITAL DISTRITAL ALTO MOCHE-WALTER CRUZ VILCA,LA LIBERTAD,TRUJILLO,7152,GOB REGIONAL,MOCHE,OTROS MZ N 37 LOTE 01 DISTRITO MOCHE PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.1852546,-78.98919570000001
HOSPITAL DE APOYO DE CORACORA,AYACUCHO,PARINACOCHAS,3523,GOB REGIONAL,CORACORA,AV. NELLO CATANZARO  SN PARINACOCHAS AYACUCHO,-15.0135416,-73.78267890000002
HOSPITAL CENTRAL DE LA FUERZA AEREA DEL PERU,LIMA,LIMA,10751,FFAA Y PNP,MIRAFLORES,AV. ARAMBURU 2DA. CUADRA SN LIMA LIMA,-12.103800300000001,-77.02993590000001
JULI,PUNO,CHUCUITO,2990,GOB REGIONAL,JULI,AVENIDA PANAMERICANA SN CHUCUITO PUNO,-15.891345000000001,-69.887985
ESSALUD - HOSPITAL III SUÁREZ ANGAMOS,LIMA,LIMA,8489,ESSALUD,MIRAFLORES,AV. ANGAMOS ESTE N 261 LIMA LIMA,-12.113361,-77.028143
"Centro de Atención y Aislamiento COVID-19 ""Villa Panamericana""",LIMA,LIMA,28024,ESSALUD,,Centro de Atención y Aislamiento COVID-19 Villa Panamericana LIMA LIMA,-12.2037784,-76.9571046
HOSPITAL I RIO NEGRO - SATIPO,JUNIN,SATIPO,8658,ESSALUD,RIO NEGRO,JIRON HEROES DEL CENEPA SN 2DA. CIUADRA - RIO NEGRO SATIPO JUNIN,-11.2270544,-74.64860449999998
HOSPITAL HERMILIO VALDIZAN,LIMA,LIMA,5948,MINSA,SANTA ANITA,CARRETERA CARRETERA CENTRAL KM 3.5 SANTA ANITA DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.0568533,-76.97074219999998
CLÍNICA VESALIO,LIMA,LIMA,9850,PRIVADO,SAN BORJA,CALLE JOSEPH THOMPSON N° 140 - URB. SANTO TOMAS LIMA LIMA,-12.1062906,-77.00722189999998
CLINICA REBAGLIATI,JUNIN,HUANCAYO,25970,PRIVADO,,CLINICA REBAGLIATI HUANCAYO JUNIN,-12.066853199999999,-75.22205579999998
ANTONIO LORENA DEL CUSCO,CUSCO,CUSCO,2305,GOB REGIONAL,SANTIAGO,URB. PRIMAVERA CUARTEL AGUSTIN GAMARRA CALLE CARLOS UGARTE SN CUSCO CUSCO,-13.525646900000002,-71.9881733
CLUB DE LA SALUD,LIMA,LIMA,8281,PRIVADO,LIMA,JR. MIGUEL ALJOVIN  NRO. 208 -222 LIMA LIMA,-12.027401199999998,-77.07689520000001
CLINICA PORVENIR,LIMA,LIMA,17173,PRIVADO,JESUS MARIA,AVENIDA AV FRANCISCO MARIATEGUI 1418 URB FUNDO OYAGUE AV FRANCISCO MARIATEGUI 1418 URB FUNDO OYAGUE JESUS MARIA LIMA LIMA  LIMA LIMA,-12.0776663,-77.05082320000001
HOSPITAL REGIONAL DOCENTE CAJAMARCA,CAJAMARCA,CAJAMARCA,7686,GOB REGIONAL,CAJAMARCA,AV. MARIO URTEAGA N 500 CAJAMARCA CAJAMARCA,-7.1555371,-78.5138267
HOSPITAL II-E JUANJUI - MC LUIS IZQUIERDO VÁSQUEZ,SAN MARTIN,MARISCAL CACERES,6919,GOB REGIONAL,JUANJUI,JR. ARICA CUADRA 2 MARISCAL CACERES SAN MARTIN,-12.090380499999998,-77.01708289999998
"HOSPITAL DE APOYO DE POMABAMBA "" ANTONIO CALDAS DOMINGUEZ""",ANCASH,POMABAMBA,1765,GOB REGIONAL,POMABAMBA,AVENIDA AV. SEOR DE LOS MILAGROS SN - HUAJTACHACRA NÚMERO SN DISTRITO POMABAMBA PROVINCIA POMABAMBA DEPARTAMENTO ANCASH  POMABAMBA ANCASH,-8.8135716,-77.46340129999999
ANTONIO BARRIONUEVO (LAMPA),PUNO,LAMPA,3128,GOB REGIONAL,LAMPA,JR. ANTONIO BARRIONUEVO N 323 LAMPA PUNO,-15.362597000000001,-70.3663
SIMON BOLIVAR,CAJAMARCA,CAJAMARCA,4655,GOB REGIONAL,CAJAMARCA,AV.MARIO URTEAGA N 500 CAJAMARCA CAJAMARCA,-7.1555371,-78.5138267
INSTITUTO NACIONAL DE SALUD DEL NIÑO,LIMA,LIMA,6216,MINSA,BREÑA,AV. BRASIL N 600 LIMA LIMA,-12.0649989,-77.0458398
HOSPITAL VICTOR LARCO HERRERA,LIMA,LIMA,6214,MINSA,MAGDALENA DEL MAR,AV.AUGUSTO PEREZ ARANIBAR N° 600 LIMA LIMA,-12.1053254,-77.05600489999998
